stock_id,name,per_latest,per_120d_high,per_120d_low,per_latest_is_prev,valuation_updated_at,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
3715,定穎投控,0.0,200.52,0.0,False,2026-09-25 14:41:02,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:02
4749,新應材,56.48,103.71,52.37,False,2026-09-25 14:41:02,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:03
4772,台特化,44.86,77.86,42.06,False,2026-09-25 14:41:03,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:03
4904,遠傳,25.67,28.55,23.58,False,2026-09-25 14:41:03,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:04
4931,新盛力,40.52,87.07,37.75,False,2026-09-25 14:41:04,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:04
4938,和碩,15.4,22.64,14.51,False,2026-09-25 14:41:04,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:05
4958,臻鼎-KY,56.27,91.11,35.43,False,2026-09-25 14:41:05,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:05
4971,IET-KY,137.66,528.48,62.08,False,2026-09-25 14:41:05,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:06
4977,眾達-KY,50.6,61.2,23.61,False,2026-09-25 14:41:06,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:06
4979,華星光,92.14,132.23,61.48,False,2026-09-25 14:41:06,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:07
4991,環宇-KY,144.39,4960.0,130.22,False,2026-09-25 14:41:07,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:07
5274,信驊,132.31,179.95,100.83,False,2026-09-25 14:41:07,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:08
5289,宜鼎,7.25,73.66,7.0,False,2026-09-25 14:41:08,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:08
5347,世界,36.9,53.01,28.14,False,2026-09-25 14:41:08,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:09
