stock_id,name,新聞
3131,弘塑,0729：《半導體》注意股：弘塑 近5日跌14.72% - 富聯網；0729：涉竊半導體濕製程機密擬赴中謀利弘塑科技前總經理等2人續押- 社會 - 自由時報；0729：弘塑除息首日暫陷貼息；今年營運拚新高- 新聞 - MoneyDJ；0729：台積電供應鏈機密外流！弘塑前總座「偷700筆轉簡體」 …
3163,波若威,0729：美股法說GLW｜康寧 Q2 財報亮眼卻遭逢股價重挫，光通訊需求噴發，聯亞、上詮、光聖、華星光、波若威等台廠供應鏈亮點一次看(GLW US)｜豐雲學堂2026 年 07 月 - sinotrade.com.tw；0729：《通網股》波若威115年Q2財報董事會 8月6日召開 - 富聯網；0…
3167,大量,0728：3167 大量 - 大量6月獲利年增逾倍，單月EPS 2.69元 - 股市爆料同學會 - CMoney；0728：焦點股》大量：背鑽機供不應求！ 6月暴賺 - 自由財經；0728：大量Q2獲利創高可期全年挑戰翻倍成長- 新聞 - MoneyDJ；0728：大量6月獲利年增逾倍，單月EPS…
3189,景碩,0729：掰掰4萬點！載板三雄淪陷大逃殺 欣興、南電、景碩挨刀爆390億資金殺出 - FTNN 新聞；0729：PCB血流成河！「這檔」摜第3根帶金像電、聯茂、台燿跌停 欣興、景碩、南電也亮綠燈 - FTNN 新聞；0727：輝達Vera Rubin載板台灣雙供應商！欣興 vs 景碩 Q2 財報、…
3221,台嘉碩,0729：《通網股》注意股：台嘉碩 近5日跌1.18% - 富聯網；0727：全光化時代來了！「石英元件大廠」掀擴產潮 晶技豪砸10億元、台嘉碩新廠Q4搶貢獻 - Yahoo股市；0724：【12:58 即時新聞】臺嘉碩(3221)股價走高3.1%、報46.55，被動元件與濾波器題材支撐，短線跌深…
3231,緯創,0729：權值三王不振 台股再挫千點 4萬點保衛戰開打 鴻海、廣達、緯創等老AI奮戰 - 工商時報；0729：權值三王不振 台股開盤再挫千點 4萬點保衛戰開打 鴻海、廣達、緯創等老AI奮戰 - 工商時報；0729：PC五虎大反攻！緯創一小時爆量百億元 領華碩仁寶英業達齊漲4% - Yahoo股市；…
3234,光環,"0727：討論牆 | 盤中速報 - 光環(3234)股價拉至漲停，漲停價143.0元，成交1,287張 - LINE TODAY；0726：3234 光環 - 股市最新爆料，掌握股友們對眾個股股價、技術分析、新聞的第一手... - 股市爆料同學會 - CMoney；0725：討論牆 | 盤中速報 …"
3236,千如,"0720：《電零組》注意股：千如 近5日跌22.29% - 富聯網；0719：《電零組》注意股：千如 近5日跌20.48% - 富聯網；0716：討論牆 | 盤中速報 - 千如(3236)股價拉至漲停，漲停價68.9元，成交5,563張 - LINE TODAY；0714：討論牆 | 盤中速報 -…"
3264,欣銓,0728：欣銓法說會｜AI晶片與矽光子雙引擎卡位！上半年獲利倍增，龍潭新廠將挹注營收 - 優分析UAnalyze；0728：欣銓法說會｜AI晶片與矽光子雙引擎卡位！上半年獲利倍增，龍潭新廠將挹注營收 - news.cnyes.com；0728：3264 欣銓 - 看來出來混 早晚要還 - 股市爆料…
3265,台星科,0728：《半導體》台星科 8月5日召開第二季財報董事會 - 富聯網；0725：台星科(3265) 個股概覽 | 個股 - 股市 - CMoney；0724：討論牆 | 盤中速報 - 台星科(3265)大漲7.31%，報161.5元 - LINE TODAY；0721：3265 台星科- 靠，被軋…
3289,宜特,0725：宜特(3289) 個股概覽 | 個股 - 股市 - CMoney；0721：個股：宜特(3289)調整配息率，每股含息1.1984133元，8/5除息交易，8/25發放 - 富聯網；0721：《其他電》宜特8月5日除息 25日股利入袋 - 富聯網；0718：宜特營收／第2季季增9.2% …
3324,雙鴻,0728：《其他電》GB300加單 雙鴻衝QD自製比 - 富聯網；0727：GB300加單雙鴻衝QD自製比- 日報 - 工商時報；0725：AI伺服器氣冷轉向液冷散熱，滲透率突破50%，奇鋐、雙鴻、台達電等6檔供應鏈受惠｜產業熱話｜豐雲學堂2026 年 07 月 - sinotrade.com.t…
3357,臺慶科,0728：討論牆 | 盤中速報 - 臺慶科(3357)大跌7.08%，報197元 - LINE TODAY；0727：臺慶科AI/車用動能延續+漲價效應，今年營運續揚- 新聞 - MoneyDJ；0727：臺慶科AI/車用動能延續+漲價效應，今年營運續揚| MoneyDJ理財網 - LINE TO…
3363,上詮,0729：康寧喊10倍光纖用量，上詮 (3363) 訂單想像怎麼算？-周哲翰 - CMoney投資網誌；0724：3363 上詮- 皮衣男加持-感謝三天抄底-一棟房子回來-傻瓜投資法-每檔都有- 股市爆料同學會 - CMoney；0724：討論牆 | 盤中速報 - 上詮(3363)急拉3.11%報…
3374,精材,0729：《半導體》精材8月6日董事會 提報Q2財報 - 富聯網；0728：3374 精材- 金包銀之精材：跌停板的震撼教育，CoWoS這是要直接躺平嗎？ - 股市爆料同學會 - CMoney；0727：3374 精材- 大戶持續進場占比持續攀升，不管了跟進攤平- 股市爆料同學會 - CMoney…
3376,新日興,0724：財訊快報：折疊iPhone Q4問世，新日興業績蓄勢待發 - 富聯網；0724：新日興(3376) 個股概覽 | 個股 - 股市 - CMoney；0723：新日興，盤中高點195+元 - CMoney；0723：大立光、新日興 四檔靚 - 經濟日報；0723：大立光、新日興 四檔靚 -…
3443,創意,"0729：《半導體》注意股：創意 近5日跌11.06% - 富聯網；0729：討論牆 | 盤中速報 - 創意(3443)股價殺至跌停，跌停價3645.0元，成交2,045張 - LINE TODAY；0728：創意(3443) 個股概覽 | 個股 - 股市 - CMoney；0727：IC設計法說…"
3450,聯鈞,0729：聯鈞(3450)擴產逾5倍仍供不應求，光通訊這輪重心究竟往哪裡移-蘇宛真 - CMoney投資網誌；0728：《台北股市》注意股：28日23檔緯穎、友訊、聯鈞、雷虎、中探針等- 上市櫃 - 旺得富理財網；0728：聯鈞今年資本支出再上修，全年展望樂觀- 新聞 - MoneyDJ；0728…
3481,群創,0729：外資爆玻璃基板量產延至2029年！群創(3481)落後陸廠一年，股價自高點回檔四成投資人進出時機點全解密 - 台灣好新聞；0728：今日股市大跌原因？盤中重挫1800點，群創、金居、頎邦慘跌該撿便宜？老手急喊：這4種「危險股」反彈千萬別搶 - 今周刊；0728：群創、友達股價殺跌停、外資…
3491,昇達科,0728：《盤前掃瞄-基本面》昇達科H1獲利勝去年全年；載板股H2拚報價季季增 - 富聯網；0728：昇達科股價雖然近腰斬 但獲利大幅成長 上半年EPS達8.15元 | 信傳媒 - LINE TODAY；0728：昇達科擴增產品線，看好下半年更勝上半年- 新聞 - MoneyDJ；0728：亞馬遜…
3529,力旺,0729：個股：力旺(3529)總經理何明洲退休，8/31生效 - 富聯網；0729：財報：力旺(3529)115年上半年歸屬母公司淨利11億7604萬元，EPS 15.75元 - 富聯網；0729：《半導體》力旺總經理 何明洲退休 - 富聯網；0728：力旺(3529) 個股概覽 | 個股 - …
3533,嘉澤,0729：盤中速報 - 嘉澤(3533)大跌7.08%，報1705元 - 鉅亨網；0729：嘉澤伺服器新品放量，擴產銜接下半年需求 - 台視全球資訊網；0724：Intel（INTC）2Q26全面超標——CPU缺口外溢，嘉澤（3533）承接｜豐雲學堂 2026 年 07 月 - sinotrade…
3563,牧德,0729：財報：牧德(3563)115年上半年歸屬母公司淨利6億2683萬元，EPS 9.80元 - 富聯網；0729：個股：牧德(3563)董事會決議，115年上半年擬每股配息1元 - 富聯網；0728：3563 牧德- 牧德股東會+年報解析影片- 股市爆料同學會 - CMoney；0727：牧…
3583,辛耘,0729：辛耘(3583)反彈回來了，但先進封裝故事接下來卡在哪一關？-林彥廷 - CMoney投資網誌；0728：《半導體》辛耘第二季財報 8月7日提報董事會 - 富聯網；0728：辛耘(3583) 個股概覽 | 個股 - 股市 - CMoney；0727：【11:00 即時新聞】辛耘(3583…
